code,name,population
00,전국,0
11,서울특별시,0
11110,종로구,0
11140,중구,0
11170,용산구,0
11200,성동구,0
11215,광진구,0
11230,동대문구,0
11260,중랑구,0
11290,성북구,1
11305,강북구,0
11320,도봉구,0
11350,노원구,0
11380,은평구,0
11410,서대문구,0
11440,마포구,0
11470,양천구,4
11500,강서구,0
11530,구로구,0
11545,금천구,0
11560,영등포구,0
11590,동작구,0
11620,관악구,0
11650,서초구,0
11680,강남구,0
11710,송파구,0
11740,강동구,0
26,부산광역시,0
26110,중구,0
26140,서구,0
26170,동구,0
26200,영도구,0
26230,부산진구,0
26260,동래구,0
26290,남구,0
26320,북구,41
26350,해운대구,0
26380,사하구,0
26410,금정구,0
26440,강서구,0
26470,연제구,0
26500,수영구,0
26530,사상구,0
26710,기장군,0
27,대구광역시,0
27110,중구,0
27140,동구,0
27170,서구,0
27200,남구,0
27230,북구,41
27260,수성구,0
27290,달서구,0
27710,달성군,0
28,인천광역시,0
28110,중구,0
28140,동구,0
28170,남구,0
28185,연수구,0
28200,남동구,0
28237,부평구,0
28245,계양구,0
28260,서구,0
28710,강화군,0
28720,옹진군,0
29,광주광역시,0
29110,동구,0
29140,서구,0
29155,남구,0
29170,북구,41
29200,광산구,0
30,대전광역시,0
30110,동구,0
30140,중구,0
30170,서구,0
30200,유성구,0
30230,대덕구,0
31,울산광역시,0
31110,중구,0
31140,남구,0
31170,동구,0
31200,북구,41
31710,울주군,31
36,세종특별자치시,0
36110,세종시,0
41,경기도,0
41110,수원시,0
41111,수원시장안구,0
41113,수원시권선구,0
41115,수원시팔달구,0
41117,수원시영통구,0
41130,성남시,0
41131,성남시수정구,0
41133,성남시중원구,0
41135,성남시분당구,0
41150,의정부시,0
41170,안양시,0
41171,안양시만안구,0
41173,안양시동안구,0
41190,부천시,0
41195,부천시원미구,0
41197,부천시소사구,0
41199,부천시오정구,0
41210,광명시,0
41220,평택시,0
41250,동두천시,0
41270,안산시,0
41271,안산시상록구,0
41273,안산시단원구,0
41280,고양시,0
41281,고양시덕양구,0
41285,고양시일산동구,0
41287,고양시일산서구,0
41290,과천시,0
41310,구리시,0
41360,남양주시,0
41370,오산시,0
41390,시흥시,0
41410,군포시,0
41430,의왕시,0
41450,하남시,0
41460,용인시,0
41461,용인시처인구,0
41463,용인시기흥구,0
41465,용인시수지구,0
41480,파주시,0
41500,이천시,0
41550,안성시,0
41570,김포시,0
41590,화성시,0
41610,광주시,5
41630,양주시,0
41650,포천시,0
41660,여주군,0
41800,연천군,0
41820,가평군,0
41830,양평군,0
42,강원도,0
42110,춘천시,0
42130,원주시,10
42150,강릉시,39
42170,동해시,0
42190,태백시,0
42210,속초시,3
42230,삼척시,4
42720,홍천군,0
42730,횡성군,0
42750,영월군,0
42760,평창군,55
42770,정선군,0
42780,철원군,0
42790,화천군,0
42800,양구군,0
42810,인제군,7
42820,고성군,0
42830,양양군,7
43,충청북도,0
43110,청주시,0
43111,청주시상당구,0
43113,청주시흥덕구,0
43130,충주시,2
43150,제천시,1
43710,청원군,0
43720,보은군,21
43730,옥천군,28
43740,영동군,14
43745,증평군,0
43750,진천군,0
43760,괴산군,2
43770,음성군,0
43800,단양군,2
44,충청남도,0
44130,천안시,0
44131,천안시동남구,0
44133,천안시서북구,0
44150,공주시,5
44180,보령시,0
44200,아산시,0
44210,서산시,0
44230,논산시,0
44250,계룡시,0
44270,당진시,0
44710,금산군,6
44760,부여군,0
44770,서천군,0
44790,청양군,0
44800,홍성군,0
44810,예산군,0
44825,태안군,0
45,전라북도,0
45110,전주시,0
45111,전주시완산구,0
45113,전주시덕진구,0
45130,군산시,1
45140,익산시,0
45180,정읍시,9
45190,남원시,28
45210,김제시,0
45710,완주군,0
45720,진안군,0
45730,무주군,46
45740,장수군,0
45750,임실군,0
45770,순창군,0
45790,고창군,0
45800,부안군,10
46,전라남도,0
46110,목포시,0
46130,여수시,0
46150,순천시,0
46170,나주시,0
46230,광양시,0
46710,담양군,0
46720,곡성군,0
46730,구례군,21
46770,고흥군,0
46780,보성군,0
46790,화순군,0
46800,장흥군,0
46810,강진군,2
46820,해남군,0
46830,영암군,1
46840,무안군,0
46860,함평군,0
46870,영광군,0
46880,장성군,1
46890,완도군,0
46900,진도군,0
46910,신안군,0
47,경상북도,0
47110,포항시,0
47111,남구,0
47113,북구,41
47130,경주시,10
47150,김천시,28
47170,안동시,30
47190,구미시,41
47210,영주시,7
47230,영천시,56
47250,상주시,86
47280,문경시,0
47290,경산시,0
47720,군위군,31
47730,의성군,65
47750,청송군,56
47760,영양군,10
47770,영덕군,10
47820,청도군,0
47830,고령군,0
47840,성주군,0
47850,칠곡군,65
47900,예천군,6
47920,봉화군,0
47930,울진군,23
47940,울릉군,0
48,경상남도,0
48120,창원시,0
48121,의창구,0
48123,성산구,0
48125,마산합포구,1
48127,마산회원구,0
48129,진해구,0
48170,진주시,0
48220,통영시,0
48240,사천시,0
48250,김해시,0
48270,밀양시,4
48310,거제시,0
48330,양산시,10
48720,의령군,0
48730,함안군,0
48740,창녕군,24
48820,고성군,0
48840,남해군,2
48850,하동군,8
48860,산청군,0
48870,함양군,0
48880,거창군,0
48890,합천군,7
50,제주특별자치도,0
50110,제주시,0
50130,서귀포시,0
